name
Praça Ari Barroso
Rua Quatá
Viela 1
Travessa Catole
Travessa Palmares
Rua Armando Rocha
Rua Paulo Pontes
Rua Fernando de Magalhães
Rua Miguel Esteves
Rua Camilo Castelo Branco
Rua Luís de Camões
Rua Oduvaldo Viana Filho
Rua dos Marcianos
Rua Bastilha
Rua Maquiável
Rua Dom Pedro Fernandes Sardinha
Travessa Francisco Nigela
Rua Eça de Queirós
Rua Afonsina
Rua Júlio Ribeiro
"['Rua Camilo Castelo Branco', 'Rua Luís de Camões']"
Rua Murilo Mendes
Rua José Brasil
Rua Guariroba
Rua Ipê Roxo
Travessa Casimiro de Abreu
"['Rua Murilo Mendes', 'Rua José Brasil']"
Rua Goncalo Zarco
Rua Lívio dos Santos
Rua das Palmeiras
Rua das Caneleiras
Rua das Goiabeiras
Rua Alberto Rangel
Rua das Paineiras
Rua Marechal Hermes
Alameda Gaspar Nogueira
Rua das Aroeiras
Rua das Cerejeiras
Travessa dos Jatobás
Rua Padre Vieira
Rua das Nogueiras
Rua Itobi
Rua Itapura
Rua do Café
Rua João Fernandes
Rua dos Faveiros
Rua Itapeti
Rua Estela
Rua das Monções
Rua 8 de Agosto
Travessa Cândido Mendes
Travessa Carlos Luz
Rua Flora
Avenida Padre Anchieta
Rua Padre Manoel de Paiva
Rua das Esmeraldas
Rua das Bandeiras
Alameda Francisco Alves
Rua General Glicério
Rua Almirante Protógenes
Rua Itambé
Avenida Padre Manoel da Nobrega
Travessa Brigido Tinoco
Boulevard Itambé
"[""Viaduto Pedro Dell'Antônia"", 'Terminal Metropolitano Santo André Oeste']"
Avenida Queirós dos Santos
Rua São Vicente
Praça 18 do Forte
Rua Coronel Oliveira Lima
"['Travessa São Bento', 'Travessa São João']"
Rua Luís Pinto Flaquer
Rua Campos Sales
Rua Coronel Fernando Prestes
Praça Embaixador Pedro de Toledo
Rua Siqueira Campos
Rua Bernardino de Campos
Rua Brás Cubas
Rua Doutor Cesário Mota
Rua Presidente Carlos de Campos
Rua Delfim Moreira
Galeria Central
Rua Prefeito Justino Paixão
Rua Doutor Albuquerque Lins
"['Avenida XV de Novembro', 'Viaduto Antônio Adib Chammas']"
Largo da Quitandinha
Rua Monte Casseros
Rua Coronel Alfredo Fláquer
Passarela Sandro Anderson da Silva
Praça do Carmo
Rua Álvares de Azevedo
Viaduto Ângelo Gaiarsa
Rua Dona Elisa Fláquer
Rua Primeiro de Maio
Rua João Cardoso
"['Rua Capitão Biagio Jacopucci', 'Travessa Capitão Biagio Jacopucci']"
Travessa Dona Maria Gaiarsa
Galeria Studio Center
Travessa Clóvis Ribeiro
Rua Savino Degni
Rua Capitão Mário Fláquer
Rua Pirituba
Rua 11 de Junho
Rua Antônio Cardoso Franco
Avenida Artur de Queirós
Rua Coronel Ortiz
Rua Doutor Alberto de Benedetti
Avenida João Ramalho
Travessa Marajó
Rua Coronel Abílio Soares
Rua Xavier de Toledo
Rua Gertrudes de Lima
Rua Dom João VI
Rua Alcides de Queirós
Rua Doutor Antônio Refinetti
Rua 24 de Fevereiro
Rua Coronel Francisco Amaro
Rua Tamoios
Rua Coronel Agenor de Camargo
Rua Dom Duarte Leopoldo e Silva
Rua dos Canudos
Rua Penedo
Travessa Penedo
Rua Senador Fláquer
Rua Tatuí
Galeria Oliveira Lima
Rua Margarida
Rua Ernani Mendes Gonçalves
Rua Correia Dias
Travessa Lucinda
Travessa Santo Fattori
Rua Panamá
Rua Casa Branca
Rua Aiala
Travessa Jussiapé
Avenida Firestone
Travessa Tatuí
Rua Nassau
Avenida Edson Danilo Dotto
Rua Gana
Rua Dalmácia
Rua Lacônia
Rua Macedônia
Rua Almada
Rua Fenícia
Rua Croácia
Rua Nepal
Rua Jonia
Rua Numídia
Rua Málaga
Rua Belterra
Rua Dardanelos
Rua Osório de Almeida
Rua Balaclava
Rua Martinica
Rua Paquistão
Rua Dunquerque
Rua Normanda
Rua Luanda
Avenida Nova Zelândia
Avenida Nestor de Barros
Praça do Amaral
Rua Genebra
