neighborhood_id;name;area_km2;average_monthly_income;literacy_rate;population_with_income;total_literate_population;total_private_households;total_resident_population;centroid_lat;centroid_lon
3547809125;Vila Vitória;404825.281;0.0;0.0;0.0;0.0;1084.0;2891.0;-23.68707188519925;-46.509689602079256
3547809126;Centreville;292437.5;0.0;0.0;0.0;0.0;1775.0;5138.0;-23.67594113141236;-46.4953638215883
3547809128;Rio Bonito;5419830.5;0.0;0.0;0.0;0.0;34.0;105.0;-23.76534686384174;-46.32523122179972
3547809129;Rio Mogi;13123184.0;0.0;0.0;0.0;0.0;1.0;4.0;-23.78616267982543;-46.34973766498952
3547809130;Araçaúva;4619926.0;0.0;0.0;0.0;0.0;5.0;11.0;-23.740217068174797;-46.32944693246785
3547809132;Várzea do Tamanduateí;1626990.25;0.0;0.0;0.0;0.0;6.0;14.0;-23.65600294892374;-46.511452925720434
3547809500;Silveira;356588.906;0.0;0.0;0.0;0.0;1173.0;3006.0;-23.66739508651091;-46.51432585901712
0;Miami Riviera;1243350.75;0.0;0.0;0.0;0.0;0.0;0.0;-23.74000308346176;-46.49499176481128
0;Polo Petroquímico de Capuava;882675.938;0.0;0.0;0.0;0.0;0.0;0.0;-23.63860977118367;-46.485657328190285
0;Rio Grande;10950572.0;0.0;0.0;0.0;0.0;0.0;0.0;-23.76411047642039;-46.300832163674414
0;Rio Pequeno;13045595.0;0.0;0.0;0.0;0.0;0.0;0.0;-23.798525862064615;-46.40866388516289
0;Três Divisas;1036122.25;0.0;0.0;0.0;0.0;0.0;0.0;-23.7258200174024;-46.473826779841744
0;Waisberg;1884213.5;0.0;0.0;0.0;0.0;0.0;0.0;-23.745482494661264;-46.481336921040324
